state,total_idps,lat,long
Aj Jazirah,254425,14.589485,33.27362
Blue Nile,50274,11.297455,34.127622
Central Darfur,265360,12.402911,23.364413
East Darfur,394820,11.017195,26.409638
Gedaref,243223,14.152377,35.106167
Kassala,87860,15.835927,35.856852
Khartoum,40800,15.851318,32.843002
North Darfur,284109,16.217571,25.556517
North Kordofan,83811,14.847728,29.761701
Northern,364314,19.560497,29.329767
Red Sea,107942,19.8416,35.70398
River Nile,512258,18.332291,33.463789
Sennar,291684,12.907198,34.042836
South Darfur,319960,11.00282,24.420469
South Kordofan,106863,11.293547,30.847982
West Darfur,68965,13.519303,22.616657
West Kordofan,40367,11.906944,28.392115
White Nile,284719,13.359391,32.316944
